logFC	AveExpr	t	P.Value	adj.P.Val	B	gene	count	sca.t	sca.P.Value	sca.adj.pval	Gene.name	significant
-1.47045187507701	26.0262430498016	-9.77111054434374	3.1276080171129e-09	1.61862023477455e-07	11.3334216247247	P23381	2	-9.98167655768301	4.8791441054965e-10	2.4034217080222e-08	WARS	TRUE
0.576590149247416	25.7531885520162	9.18319233343009	9.02630824180846e-09	3.82636979815793e-07	10.2689633632523	P04181	9	9.97638223753161	4.9300958113276e-10	2.4034217080222e-08	OAT	FALSE
-0.95168331423578	22.9716769401075	-10.006821153961	2.06894172552077e-09	1.21807742674662e-07	11.7478150031114	Q9UKX5	1	-9.87320291395782	6.04064905363728e-10	2.84917941437066e-08	ITGA11	FALSE
-0.573279650384482	24.226921153896	-9.68890277128286	3.61807605724418e-09	1.80903802862209e-07	11.1872490941569	P41252;A0A804HHW9;A0A804HL54;A0A804HJN6;A0A0A0MSX9;A0A804HJ36;J3KR24;A0A804HIV9;A0A804HKU1;A0A804HK69	6	-9.86521907466602	6.13669412325988e-10	2.84917941437066e-08	IARS	FALSE
0.443458045931127	28.9847732076862	8.06463487922805	7.65001131895968e-08	2.10105944675653e-06	8.11735355028444	P07355;H0YMW4;H0YN42;H0YMU9;H0YMD0;A6NMY6;H0YM50;H0YL33;H0YNB8;H0YKS4;H0YNP5;H0YN28	21	9.79580572444215	7.04113919383827e-10	3.1930747506941e-08	ANXA2;ANXA2P2	FALSE
-0.273234842857292	25.004623251886	-6.56993077263579	1.72323677510072e-06	2.92201018386644e-05	4.97706439637032	O75369;A0A804HK76;A0A804HL72;E7EN95	32	-9.74786006485849	7.74529285294841e-10	3.43257296892032e-08	FLNB	FALSE
0.915835846549669	23.7946809003373	9.90428014540016	2.47440123883562e-09	1.3785949759227e-07	11.5683974640647	Q01581	1	9.7276496352761	8.0635157692466e-10	3.49419016667353e-08	HMGCS1	FALSE
-0.45004152637016	29.6001574734506	-8.12356664256121	6.80752551471749e-08	1.8963821076713e-06	8.23494782678931	K7EL50;P27797;A0A7P0T861;K7EJB9	18	-9.69433836289454	8.61776916329254e-10	3.65318475400445e-08	CALR	FALSE
0.616175341169878	24.9922424482433	8.64686570562055	2.46466281099507e-08	8.06199138738543e-07	9.25836632034873	P05023	13	9.666319459544	9.11434365180864e-10	3.7814830044738e-08	ATP1A1	FALSE
0.296901017382897	26.9793307699592	6.81353757436687	1.01643590307795e-06	1.86985850094529e-05	5.50914664509738	P13639	29	9.57439952915136	1.09609274728518e-09	4.45287678584606e-08	EEF2	FALSE
-0.691553937242574	26.0809859522212	-8.88886033039568	1.55936701605784e-08	5.52866487511414e-07	9.71910419111435	P15121;E9PCX2	8	-9.52682716782281	1.20641350283915e-09	4.80103332762517e-08	AKR1B1	FALSE
0.613800447621319	26.5623215084471	9.51559954876495	4.9318142949538e-09	2.34561899394144e-07	10.8762790073404	P22695;H3BRG4;H3BSJ9	5	9.48800687126915	1.30489428470866e-09	5.08908771036376e-08	UQCRC2	FALSE
-0.596696224043832	23.3885670630188	-9.45635545363745	5.48730752067564e-09	2.52571386422516e-07	10.769088881747	P17301;E7ESP4;E7EMF1	5	-9.39929913280355	1.56229255808012e-09	5.97347154560048e-08	ITGA2	FALSE
-0.620457590254155	23.876939028861	-10.5722269363567	7.88235552635893e-10	5.34550061701897e-08	12.7139245137919	Q15274	3	-9.37453495033477	1.64311347411461e-09	6.1616755279298e-08	QPRT	FALSE
0.504630022833908	25.6723985465329	9.23830627071265	8.15784603745683e-09	3.53506661623129e-07	10.3706540580791	O00560;B4DHN5;E9PBU7	6	9.32313641408786	1.8249091196284e-09	6.7142882703309e-08	SDCBP	FALSE
0.665448639758171	23.3824580820863	9.44811934366371	5.56952288008625e-09	2.52571386422516e-07	10.754151453805	Q9UJS0	4	9.22145522345373	2.2481956212844e-09	8.11848418797145e-08	SLC25A13	FALSE
0.443894525110672	26.6466694885189	8.43966504224739	3.66942160967747e-08	1.1180268966986e-06	8.85759798811415	P04899	8	9.00952043000297	3.48759360172792e-09	1.23651045879444e-07	GNAI2	FALSE
-0.722511650244847	26.3366992685073	-8.47853430422759	3.40399428011909e-08	1.06100490759755e-06	8.93322253501931	Q13011;M0R248	7	-8.99612185580782	3.5864663975794e-09	1.2488588348714e-07	ECH1	FALSE
0.796081059374444	23.6970640428689	9.15627315556782	9.48481749239425e-09	3.85040154445112e-07	10.2191498057234	Q6UVK1	1	8.89675441729562	4.41595882661292e-09	1.51072275647284e-07	CSPG4	FALSE
-0.947570906451435	24.0435017029844	-9.15794069322147	9.45572487404184e-09	3.85040154445112e-07	10.2222383297128	Q9UBG0	2	-8.88411237344848	4.53483125115104e-09	1.52464154133526e-07	MRC2	FALSE
0.210867043107623	28.658063549562	5.15007724401203	4.30642349531811e-05	0.000383448667391339	1.74266652962543	P35579	72	8.87266994639439	4.64526422112002e-09	1.53529919172611e-07	MYH9	FALSE
0.796297798801145	24.7174086795887	9.00550374541668	1.25395765492549e-08	4.68330539206216e-07	9.93838628949083	F8VVM2	3	8.81345931435619	5.26261007221237e-09	1.71034827346902e-07	SLC25A3	FALSE
0.703342389849816	24.3941365950807	9.14548056748292	9.67536798349257e-09	3.85040154445112e-07	10.1991515016873	P54709;C9JA36;C9JXZ1	3	8.7127664698822	6.51354379858084e-09	2.08219842741519e-07	ATP1B3	FALSE
-0.653179241477069	24.6927440834495	-8.78610239409685	1.89220913520536e-08	6.47334704149201e-07	9.52442157069374	P14550	4	-8.6538100142921	7.38438591706766e-09	2.32250847391644e-07	AKR1A1	FALSE
-0.562804745525565	24.7647063616856	-8.99745158455774	1.27289838861177e-08	4.68330539206216e-07	9.92330688522959	P26639	4	-8.58135223128247	8.62114341403648e-09	2.66844915196367e-07	TARS	FALSE
