LFQ.intensity.1G_A_01	LFQ.intensity.1G_A_02	LFQ.intensity.1G_A_03	LFQ.intensity.1G_B_01	LFQ.intensity.1G_B_02	LFQ.intensity.1G_B_03	LFQ.intensity.1G_C_01	LFQ.intensity.1G_C_02	LFQ.intensity.1G_C_03	LFQ.intensity.DLN_A_01	LFQ.intensity.DLN_A_02	LFQ.intensity.DLN_A_03	LFQ.intensity.DLN_B_01	LFQ.intensity.DLN_B_02	LFQ.intensity.DLN_B_03	LFQ.intensity.DLN_C_01	LFQ.intensity.DLN_C_02	LFQ.intensity.DLN_C_03
A0A0J9YXF2;Q15165;G3XAK4	22.8769515361485	23.0068615871118	22.9459060070541	23.3804695204693	23.6419617614947	23.5917213842006	23.3208600313311	23.5346904391642	23.391655809441	23.4058748096126	23.4279030827413	23.2125397256205	22.9329024454144	23.1845593992353	23.4225237093464	23.1607873117734	23.0206598878889	23.0359220045651
Q8N129;A0A0J9YYJ0	25.4214325819138	25.211077009059	24.7877575201432	24.8261923437867	24.5523895452657	24.6625888466805	23.8706070389563	24.7558781896684	24.8797956132033	25.2348378919123	25.3639601376502	25.5372406808	25.1388757927696	25.2366270888616	24.7667347265446	25.0590780426761	24.8923119372051	24.6650856107303
P43243;A8MXP9;A0A0R4J2E8;D6REM6;D6R991;H0Y8T4	26.0089611290065	26.1226179108021	25.9496463155909	26.0660770335434	25.9726581957185	26.0726130032819	25.9592976728992	26.0055815488752	26.0335967486915	25.9247447394344	26.0076145237636	25.8866953505855	25.9834191696536	26.0539513949237	26.0310531465209	25.9768149385214	25.9497576183352	25.9335509124566
A0A0U1RR32;A0A0U1RRH7;Q99878;Q96KK5;Q9BTM1;Q16777;Q6FI13;P20671;P0C0S8;H0YFX9;A0A3B3IS11	31.4359903391569	31.4902762623453	31.4677186305599	31.6092882109652	31.5194866923521	31.4884098727332	31.5925449471306	31.7815990935139	31.3639016709508	30.8804467865841	30.9108508457352	30.8671756436592	30.9988012344762	30.8263863326321	31.1137145889574	31.1390100202294	30.9556000708409	31.1034333921976
A0A0U1RRM4;P26599;A0A7I2V621;A6NLN1;A0A7I2V4H6;A0A6Q8PEX4	27.716530519529	27.6620726718541	27.5230535156683	27.5183333126793	27.7407900582033	27.4952605933804	27.5287272525079	27.4977748627897	27.5622361345561	27.4689422987864	27.3707761242655	27.4077882200472	27.4130451240142	27.4632619301856	27.3810474075353	27.4148200538264	27.2543079520187	27.3361992535418
O78179;A0A140T912;A0A140T937;A0A140T930;A0A140T9J9;A0A1W2PRZ0;Q5QT33;A0A1W2PR11;A0A140T9B3;A0A140T962;Q5RIP0;A0A1W2PP77;A0A1W2PRX1;A0A0G2JH50;A0A0G2JIF0;A0A1W2PS56;A2BF26;A0A140T9M5	24.1299055580804	24.2761130432789	24.6404179464294	24.8886473882442	24.9753067691256	25.064268784288	24.5644183994419	24.4052256195549	24.5622652531449	24.5253406253649	24.8879505350978	24.8642439650962	24.8176309076698	24.8665567711077	24.8114213418774	24.598779481805	24.6310091526965	24.8179723912728
Q53Z42;A0A140T9I0;A0A140T9X5;A0A140T913;A0A140T955;A0A140T933;A0A1W2PRT9;A0A1W2PPQ2	27.6321470014734	27.836413897885	27.8841933480323	28.1533006777798	27.9838649005605	28.1780241628696	27.8826784015658	28.0858297412254	27.9470393769636	27.9611318837568	27.9289174369956	27.9745411525437	27.8251734741825	27.9905884886713	27.984897162774	27.9377543692705	27.9653769722525	28.0762268121561
P49419;A0A1B0GW77;A0A1B0GTG2;A0A1B0GW82;A0A1B0GUA1;A0A1B0GTJ4;A0A1B0GV49;A0A1B0GTY9;A0A1B0GUY0;A0A0J9YWF7	25.0898247981355	25.2068364110527	25.4943604869973	25.1885037307954	25.4194086031472	25.6048140341492	25.1715011828094	25.4216572932676	25.2183018924244	25.2233562831662	25.1372738617277	25.4212399443205	25.2332659502205	25.5317788437443	25.2461200932173	25.4665017027566	25.4168665786863	25.5819597713062
A0A1B0GTU4;P49023;F5GZ78	22.8767642291048	22.8152284825067	22.714061009432	23.1179264984844	22.6007767944958	22.8503936521758	22.7845262201898	22.5694569879986	22.7675330546384	22.4818043578177	22.8458460559685	22.4059007711397	22.582264208242	22.7473079314908	22.8466878688453	22.4849782266787	22.4601648913585	22.8717541170141
F8W787;A0A1B0GW44;A0A1B0GVD5;A0A1B0GWE8;P07339;A0A1B0GV23;C9JH19;A0A1B0GVP3;A0A1B0GU92;A0A1B0GU03;H7C469	26.0439350923967	25.9544245965195	25.7892759239255	26.0043818202263	26.1533876631008	26.105775221166	25.8016866532901	25.8886009418381	26.0093883600211	26.6963074923476	26.6264487621234	26.6339490709397	26.6909907550205	26.6418239880103	26.4317173108688	26.7668610737042	26.7035861600134	26.6703364061244
Q16555;A0A1C7CYX9	25.6003968371914	25.5537668478478	25.4784321690948	25.4448066316573	25.5583873126651	25.5190835831424	25.4265281280896	25.3181726135266	25.3782879755557	25.7346405800548	25.8215287689828	25.7570998205138	25.7898977591639	25.6122586176393	25.7565145848128	25.8244209895602	25.789997227934	25.6769672677133
Q969N2;A0A1W2PNP0;A0A1W2PPR6;A0A1W2PPS0;A0A1W2PPC3;A0A1W2PP57;A0A1W2PP53;A0A1W2PRZ8;A0A1W2PQN1;A0A1W2PPQ7;A0A1W2PQ52;A0A1W2PQY1	24.4677458344661	24.4271358277821	24.3940135828672	24.2627004915414	24.4392997929625	24.3052167806589	24.1479458264084	24.2503192386705	24.3643943875413	23.9996374150125	23.7944166596392	24.0399257474146	23.9432431027051	23.7697135726365	23.9907507685359	23.79124000926	23.6336719759536	23.7880563488199
A0A1W2PNV4	25.0071439844076	25.133476830084	25.0461438204497	25.0495544486124	24.8791412237357	24.999121245046	24.7852648711232	24.579055777438	24.8426369257218	25.0951880578568	25.0493882634383	24.8394206411701	25.0647210591239	25.0660770335434	24.8833428431725	25.1979803353603	25.085819613105	25.0998896850639
E9PJA7;A0A1W2PQ43;E9PK09;E9PQN2;E9PKI6;E9PK91;Q9NYF8	23.9837235861579	25.3155492798746	25.1020144499337	25.227144672428	25.1344172326535	25.2042263448786	25.4463220677639	25.4313188049466	25.2836208256667	24.3800070440938	24.4897749671465	24.8865093044133	24.4737646995202	25.2464463266924	25.1444880343849	25.1882396011399	25.3017328498644	25.59460002042
