logFC	AveExpr	t	P.Value	adj.P.Val	B	gene	count	sca.t	sca.P.Value	sca.adj.pval	Gene.name	significant	Regulation	plot.adj.pval	minus.log10.adj.pval
-0.683976925851088	25.5198647169046	-11.0847530322901	3.88755071134129e-10	2.91566303350597e-08	13.42520118029	P49588;A0A6Q8PGN5;A0A6Q8PF33;H3BPK7;A0A6Q8PFY2;A0A6Q8PGE8;A0A6Q8PGR9;A0A6Q8PGB5;A0A6Q8PFK3;A0A6Q8PHJ2;A0A6Q8PH44;A0A6Q8PHP7	16	-12.6811543641578	6.05381484018869e-12	9.08072226028304e-10	AARS	FALSE	Not significant	9.08072226028304e-10	9.04187960729602
-0.540097319211039	26.454046330948	-10.9145516622583	5.11471806504746e-10	3.69396304697872e-08	13.1510145684097	P11413;E7EUI8;E7EM57;E9PD92	11	-12.350978853616	1.03696985006672e-11	1.44435086259293e-09	G6PD	FALSE	Not significant	1.44435086259293e-09	8.84032729486979
-0.344772453849025	28.6016763515392	-8.32345930895129	5.03127725974946e-08	1.34757496453864e-06	8.53910920078338	P14625;A0A7P0TAT8;A0A7P0T823;H0YIV0;A0A7P0TAE1;A0A087WT78;A0A7P0T917;A0A7P0TAY2;A0A7P0TBC2	32	-12.0826260801381	1.61883563185475e-11	2.10448632141118e-09	HSP90B1	FALSE	Not significant	2.10448632141118e-09	8.67685389270282
1.06559384273571	31.3009417280448	11.3890256737985	2.39860797485472e-10	2.17832741592405e-08	13.9072495016656	P62805	7	12.0314330738801	1.76386086539852e-11	2.14970542970444e-09	HIST1H4A	TRUE	Up in MCM-1G	2.14970542970444e-09	8.66762104660464
-0.547528355658841	28.8269033349008	-10.8159423417291	6.00433590818928e-10	4.18159107891754e-08	12.9906430570756	P09211;A8MX94	9	-11.8030744835541	2.59482401408746e-11	2.97641578086502e-09	GSTP1	FALSE	Not significant	2.97641578086502e-09	8.52630640151238
-0.747511747734467	25.9294269702355	-11.1681575632604	3.40231879425999e-10	2.65380865952279e-08	13.5583644502202	Q08380	7	-11.7223848747477	2.9778905845045e-11	3.18068902751901e-09	LGALS3BP	FALSE	Not significant	3.18068902751901e-09	8.49747878931273
-0.901580710521632	23.7855177977847	-11.7873102670825	1.29308459244141e-10	1.68100997017383e-08	14.5229032609038	Q04828;H0Y804;A6NHU4	4	-11.6768503073857	3.2194890611529e-11	3.18068902751901e-09	AKR1C1	FALSE	Not significant	3.18068902751901e-09	8.49747878931273
0.683749711169309	26.4586436104557	11.8456855426585	1.18269402514606e-10	1.68100997017383e-08	14.6117102172433	Q99623;F5GY37;F5H3X6;J3KPX7;A0A7I2V5F0;F5GWA7	5	11.6691619304931	3.26224515642975e-11	3.18068902751901e-09	PHB2	FALSE	Not significant	3.18068902751901e-09	8.49747878931273
0.84122588952112	24.0407032544299	11.3453365192859	2.56930925980786e-10	2.17832741592405e-08	13.8386665602239	Q9H9B4;D6RFI0	5	11.503280817819	4.3431317268833e-11	4.03290803210592e-09	SFXN1	FALSE	Not significant	4.03290803210592e-09	8.39438168168797
0.6925569668626	31.388006760486	9.84545674015761	3.08234743994499e-09	1.5411737199725e-07	11.3508234411194	P08670;B0YJC4;B0YJC5	32	11.4300473157603	4.93266214232945e-11	4.37213235342837e-09	VIM	FALSE	Not significant	4.37213235342837e-09	8.35930669953716
0.654986289539128	24.6643281646681	12.2919250040676	6.04399413694368e-11	1.17857885670402e-08	15.2788526174436	A0A0C4DGA2;O75521	4	11.4015086427311	5.18431376328023e-11	4.39539645147672e-09	ECI2	FALSE	Not significant	4.39539645147672e-09	8.3570019467737
0.810888550614351	24.9554545109691	11.600977593512	1.72308034354684e-10	1.76842456311387e-08	14.2370076124636	P08473;A0A7I2U302;A0A6Q8PFY6	4	11.3447336250658	5.72527722909586e-11	4.59409549562229e-09	MME	FALSE	Not significant	4.59409549562229e-09	8.33779998154179
-0.840583259976587	23.783031675854	-12.1168357292435	7.84760357386605e-11	1.39116608809444e-08	15.0195356881014	P19971;C9JGI3;A0A494C1N7;A0A494C0L6	1	-11.3285580698501	5.88986602002858e-11	4.59409549562229e-09	TYMP	FALSE	Not significant	4.59409549562229e-09	8.33779998154179
1.08061537048419	24.5218321936424	11.6837569026627	1.51611484948853e-10	1.73907291558978e-08	14.3644766064604	E9PNM1;P37268;A0A1W2PQ47;E9PJG4	2	11.108412815821	8.68698579643499e-11	6.37013234232435e-09	FDFT1	TRUE	Up in MCM-1G	6.37013234232435e-09	8.19585154491047
-0.828997968681445	23.7303609852003	-11.8240929896176	1.22233583581009e-10	1.68100997017383e-08	14.5789031883322	P20908	3	-11.099853741432	8.82018324321833e-11	6.37013234232435e-09	COL5A1	FALSE	Not significant	6.37013234232435e-09	8.19585154491047
0.509090004567739	26.1431737116427	10.3386397172385	1.32460005520106e-09	8.15643430068385e-08	12.1983232989969	P31930	8	11.0425267339445	9.76858503660324e-11	6.80312172192011e-09	UQCRC1	FALSE	Not significant	6.80312172192011e-09	8.16729175854328
-0.785945360656665	23.8386172360132	-10.5907821225175	8.69363329629729e-10	5.65086164259324e-08	12.6202272478665	A0A7P0T9R0;A0A7P0T9I6;P20591;F8W8T1;A0A7P0Z4E0;H9KVC7;H9KVC9	5	-10.7390546967189	1.68777139494428e-10	1.13488076556598e-08	MX1	FALSE	Not significant	1.13488076556598e-08	7.94504976452979
-0.440270402854051	28.4617329319979	-9.54284296151593	5.24910327159302e-09	2.27461141769031e-07	10.8158115584441	P60174	10	-10.7023763595582	1.80437022381947e-10	1.14642548930797e-08	TPI1	FALSE	Not significant	1.14642548930797e-08	7.9406541665197
0.839655715751075	23.5379428239474	11.244696506283	3.01243370404593e-10	2.44760238453732e-08	13.6798797668068	P24539;Q5QNZ2	3	10.6968876759699	1.82252257274601e-10	1.14642548930797e-08	ATP5F1	FALSE	Not significant	1.14642548930797e-08	7.9406541665197
0.631379322441916	26.5782576730599	10.3324465745988	1.33849178267632e-09	8.15643430068385e-08	12.1878648039898	Q15417	6	10.5657693412166	2.31725993662341e-10	1.41208027387989e-08	CNN3	FALSE	Not significant	1.41208027387989e-08	7.85014061382803
-0.677474290445467	26.0818698359732	-10.0308772473416	2.23637186888043e-09	1.17862841738293e-07	11.6729641447059	D9J307;Q2L6G2;D5H3J5;A0A140TA13;A0A140T9G0;A0A140T953;A0A140T9H3;A0A140T9A9	7	-10.5311336360145	2.46985726129366e-10	1.45946110894626e-08	HLA-B	FALSE	Not significant	1.45946110894626e-08	7.83580747340298
-0.867831671338113	25.9173621981219	-11.6248022238813	1.66065965708674e-10	1.76842456311387e-08	14.2737698035043	P02452	2	-10.5021636521999	2.60546406074676e-10	1.49431027013417e-08	COL1A1	FALSE	Not significant	1.49431027013417e-08	7.82555921870738
0.861503407996949	27.6886521293079	11.3650614566162	2.49072562701936e-10	2.17832741592405e-08	13.8696566644767	O75531	2	10.3108202210888	3.7177879141778e-10	2.07133898075621e-08	BANF1	FALSE	Not significant	2.07133898075621e-08	7.68374882171256
-0.552565023359065	25.4281664238117	-9.84719207038531	3.07304852255700e-09	1.5411737199725e-07	11.3538581683872	P13674	7	-10.2790818493188	3.94527659933314e-10	2.13702482463878e-08	P4HA1	FALSE	Not significant	2.13702482463878e-08	7.67019043284715
-1.08807351085079	24.5215443724371	-10.1969843698236	1.68342378600534e-09	9.65493053738357e-08	11.9579471678945	Q9Y4K0	1	-10.2285564412185	4.3375633036091e-10	2.28601309244263e-08	LOXL2	TRUE	Up in MCM-DLN	2.28601309244263e-08	7.64092128664445
-0.968080682139302	22.9634782561557	-10.2472321161079	1.54579087461317e-09	9.13421880453239e-08	12.0434911954346	Q9UKX5	1	-10.1256783054469	5.26602528089024e-10	2.70230244677262e-08	ITGA11	FALSE	Not significant	2.70230244677262e-08	7.56826604553841
-0.63895513586159	21.9650330738584	-11.4002077972065	2.35684507600946e-10	2.17832741592405e-08	13.9247693714533	E9PFW2;A0A2R8YEC9;O00462;A0A2R8YCE9;A0A2R8Y4U7;A0A2R8Y524	1	-10.0670230659725	5.88516300432644e-10	2.94258150216322e-08	MANBA	FALSE	Not significant	2.94258150216322e-08	7.53127149944475
0.927843140588731	23.7886772533177	10.1756346222878	1.74570347548267e-09	9.7260622205463e-08	11.921507400336	Q01581	1	10.0047318944962	6.62559927553794e-10	3.22997964682475e-08	HMGCS1	FALSE	Not significant	3.22997964682475e-08	7.49080021429415
0.576590149247423	25.7531885520162	9.23434926937037	9.13565451902338e-09	3.63561761471339e-07	10.2583521978769	P04181	9	9.98753433801934	6.84652843092326e-10	3.25627571714643e-08	OAT	FALSE	Not significant	3.25627571714643e-08	7.48727882940763
0.869496747230123	22.7809837503442	9.66581969338226	4.22234795034346e-09	1.96037583408803e-07	11.0346289028015	P13796	5	9.94708526007593	7.39669064360106e-10	3.35631809772402e-08	LCP1	FALSE	Not significant	3.35631809772402e-08	7.47413688528687
-0.573279650384467	24.226921153896	-9.75715085101575	3.59632217820499e-09	1.75320706187493e-07	11.1958965517799	P41252;A0A804HHW9;A0A804HL54;A0A804HJN6;A0A0A0MSX9;A0A804HJ36;J3KR24;A0A804HIV9;A0A804HKU1;A0A804HK69	6	-9.94677295958515	7.40111170267349e-10	3.35631809772402e-08	IARS	FALSE	Not significant	3.35631809772402e-08	7.47413688528687
