feature	wavenumber	group	window_start	window_end
SERS_1548.5	1548.5	100	1540	1550
SERS_1549.0	1549	100	1540	1550
SERS_1549.5	1549.5	100	1540	1550
SERS_1610.0	1610	107	1610	1620
SERS_1610.5	1610.5	107	1610	1620
SERS_1611.0	1611	107	1610	1620
SERS_1611.5	1611.5	107	1610	1620
SERS_1612.0	1612	107	1610	1620
SERS_1612.5	1612.5	107	1610	1620
SERS_1613.0	1613	107	1610	1620
SERS_1613.5	1613.5	107	1610	1620
SERS_1614.0	1614	107	1610	1620
SERS_1614.5	1614.5	107	1610	1620
SERS_1615.0	1615	107	1610	1620
SERS_1615.5	1615.5	107	1610	1620
SERS_1616.0	1616	107	1610	1620
SERS_1616.5	1616.5	107	1610	1620
SERS_1617.0	1617	107	1610	1620
SERS_1617.5	1617.5	107	1610	1620
SERS_1618.0	1618	107	1610	1620
SERS_1618.5	1618.5	107	1610	1620
SERS_1619.0	1619	107	1610	1620
SERS_1619.5	1619.5	107	1610	1620
SERS_1640.0	1640	110	1640	1650
SERS_1640.5	1640.5	110	1640	1650
SERS_1641.0	1641	110	1640	1650
SERS_1641.5	1641.5	110	1640	1650
SERS_1642.0	1642	110	1640	1650
SERS_1642.5	1642.5	110	1640	1650
SERS_1643.0	1643	110	1640	1650
SERS_1643.5	1643.5	110	1640	1650
SERS_1644.0	1644	110	1640	1650
SERS_1644.5	1644.5	110	1640	1650
SERS_1645.0	1645	110	1640	1650
SERS_1645.5	1645.5	110	1640	1650
SERS_1646.0	1646	110	1640	1650
SERS_1646.5	1646.5	110	1640	1650
SERS_1647.0	1647	110	1640	1650
SERS_1647.5	1647.5	110	1640	1650
SERS_1648.0	1648	110	1640	1650
SERS_1648.5	1648.5	110	1640	1650
SERS_1649.0	1649	110	1640	1650
SERS_1649.5	1649.5	110	1640	1650
