original_feature	cleaned_feature	is_ensembl	gene_symbol	diablo_label
ENSG00000235488	ENSG00000235488	TRUE	JARID2-AS1	JARID2-AS1
ENSG00000201367	ENSG00000201367	TRUE	RNU6-522P	RNU6-522P
ENSG00000047579	ENSG00000047579	TRUE	DTNBP1	DTNBP1
ENSG00000007944	ENSG00000007944	TRUE	MYLIP	MYLIP
ENSG00000137198	ENSG00000137198	TRUE	GMPR	GMPR
ENSG00000124788	ENSG00000124788	TRUE	ATXN1	ATXN1
ENSG00000229931	ENSG00000229931	TRUE	NA	ENSG00000229931
ENSG00000272341	ENSG00000272341	TRUE	NA	ENSG00000272341
ENSG00000112183	ENSG00000112183	TRUE	RBM24	RBM24
ENSG00000112186	ENSG00000112186	TRUE	CAP2	CAP2
ENSG00000184612	ENSG00000184612	TRUE	NA	ENSG00000184612
ENSG00000137414	ENSG00000137414	TRUE	FAM8A1	FAM8A1
ENSG00000124789	ENSG00000124789	TRUE	NUP153	NUP153
ENSG00000206881	ENSG00000206881	TRUE	RNU6-190P	RNU6-190P
ENSG00000272269	ENSG00000272269	TRUE	NA	ENSG00000272269
ENSG00000137177	ENSG00000137177	TRUE	KIF13A	KIF13A
ENSG00000220920	ENSG00000220920	TRUE	RPS12P12	RPS12P12
ENSG00000187566	ENSG00000187566	TRUE	NHLRC1	NHLRC1
ENSG00000137364	ENSG00000137364	TRUE	TPMT	TPMT
ENSG00000165097	ENSG00000165097	TRUE	KDM1B	KDM1B
ENSG00000124795	ENSG00000124795	TRUE	DEK	DEK
ENSG00000137393	ENSG00000137393	TRUE	RNF144B	RNF144B
ENSG00000172201	ENSG00000172201	TRUE	ID4	ID4
ENSG00000172197	ENSG00000172197	TRUE	MBOAT1	MBOAT1
ENSG00000112242	ENSG00000112242	TRUE	E2F3	E2F3
ENSG00000240869	ENSG00000240869	TRUE	NA	ENSG00000240869
ENSG00000252949	ENSG00000252949	TRUE	NA	ENSG00000252949
ENSG00000224707	ENSG00000224707	TRUE	E2F3-IT1	E2F3-IT1
ENSG00000222431	ENSG00000222431	TRUE	RNU6-141P	RNU6-141P
ENSG00000145996	ENSG00000145996	TRUE	CDKAL1	CDKAL1
ENSG00000233848	ENSG00000233848	TRUE	NA	ENSG00000233848
ENSG00000124766	ENSG00000124766	TRUE	SOX4	SOX4
ENSG00000272168	ENSG00000272168	TRUE	LOC105374971	LOC105374971
ENSG00000112273	ENSG00000112273	TRUE	HDGFL1	HDGFL1
ENSG00000228772	ENSG00000228772	TRUE	NA	ENSG00000228772
ENSG00000233358	ENSG00000233358	TRUE	LOC105374974	LOC105374974
ENSG00000146038	ENSG00000146038	TRUE	DCDC2	DCDC2
ENSG00000124532	ENSG00000124532	TRUE	MRS2	MRS2
ENSG00000112293	ENSG00000112293	TRUE	GPLD1	GPLD1
ENSG00000112294	ENSG00000112294	TRUE	ALDH5A1	ALDH5A1
ENSG00000137261	ENSG00000137261	TRUE	KIAA0319	KIAA0319
ENSG00000111802	ENSG00000111802	TRUE	TDP2	TDP2
ENSG00000112304	ENSG00000112304	TRUE	ACOT13	ACOT13
ENSG00000272345	ENSG00000272345	TRUE	NA	ENSG00000272345
ENSG00000112308	ENSG00000112308	TRUE	C6orf62	C6orf62
ENSG00000272402	ENSG00000272402	TRUE	NA	ENSG00000272402
ENSG00000112312	ENSG00000112312	TRUE	GMNN	GMNN
ENSG00000111913	ENSG00000111913	TRUE	RIPOR2	RIPOR2
ENSG00000214975	ENSG00000214975	TRUE	NA	ENSG00000214975
ENSG00000168405	ENSG00000168405	TRUE	NA	ENSG00000168405
ENSG00000079691	ENSG00000079691	TRUE	CARMIL1	CARMIL1
ENSG00000112343	ENSG00000112343	TRUE	TRIM38	TRIM38
ENSG00000272065	ENSG00000272065	TRUE	NA	ENSG00000272065
ENSG00000272462	ENSG00000272462	TRUE	LINC02980	LINC02980
ENSG00000272810	ENSG00000272810	TRUE	NA	ENSG00000272810
ENSG00000124610	ENSG00000124610	TRUE	H1-1	H1-1
ENSG00000198366	ENSG00000198366	TRUE	NA	ENSG00000198366
ENSG00000196176	ENSG00000196176	TRUE	NA	ENSG00000196176
ENSG00000124529	ENSG00000124529	TRUE	NA	ENSG00000124529
ENSG00000124693	ENSG00000124693	TRUE	NA	ENSG00000124693
ENSG00000137259	ENSG00000137259	TRUE	NA	ENSG00000137259
ENSG00000196226	ENSG00000196226	TRUE	NA	ENSG00000196226
ENSG00000234816	ENSG00000234816	TRUE	NA	ENSG00000234816
ENSG00000196532	ENSG00000196532	TRUE	NA	ENSG00000196532
ENSG00000187837	ENSG00000187837	TRUE	H1-2	H1-2
ENSG00000010704	ENSG00000010704	TRUE	HFE	HFE
ENSG00000197061	ENSG00000197061	TRUE	H4C3	H4C3
ENSG00000180596	ENSG00000180596	TRUE	H2BC4	H2BC4
ENSG00000180573	ENSG00000180573	TRUE	H2AC6	H2AC6
ENSG00000168298	ENSG00000168298	TRUE	H1-4	H1-4
ENSG00000158373	ENSG00000158373	TRUE	H2BC5	H2BC5
ENSG00000197697	ENSG00000197697	TRUE	NA	ENSG00000197697
ENSG00000188987	ENSG00000188987	TRUE	NA	ENSG00000188987
ENSG00000216331	ENSG00000216331	TRUE	NA	ENSG00000216331
ENSG00000197409	ENSG00000197409	TRUE	H3C4	H3C4
ENSG00000197846	ENSG00000197846	TRUE	NA	ENSG00000197846
ENSG00000217275	ENSG00000217275	TRUE	RPS10P1	RPS10P1
ENSG00000198518	ENSG00000198518	TRUE	NA	ENSG00000198518
ENSG00000187990	ENSG00000187990	TRUE	NA	ENSG00000187990
ENSG00000168274	ENSG00000168274	TRUE	NA	ENSG00000168274
ENSG00000196966	ENSG00000196966	TRUE	NA	ENSG00000196966
ENSG00000218281	ENSG00000218281	TRUE	H2AC9P	H2AC9P
ENSG00000124575	ENSG00000124575	TRUE	H1-3	H1-3
ENSG00000198327	ENSG00000198327	TRUE	NA	ENSG00000198327
ENSG00000256316	ENSG00000256316	TRUE	NA	ENSG00000256316
ENSG00000197459	ENSG00000197459	TRUE	NA	ENSG00000197459
ENSG00000256018	ENSG00000256018	TRUE	NA	ENSG00000256018
ENSG00000168242	ENSG00000168242	TRUE	NA	ENSG00000168242
ENSG00000158406	ENSG00000158406	TRUE	H4C8	H4C8
ENSG00000220875	ENSG00000220875	TRUE	H3C9P	H3C9P
ENSG00000186470	ENSG00000186470	TRUE	BTN3A2	BTN3A2
ENSG00000215979	ENSG00000215979	TRUE	NA	ENSG00000215979
ENSG00000124508	ENSG00000124508	TRUE	BTN2A2	BTN2A2
ENSG00000026950	ENSG00000026950	TRUE	BTN3A1	BTN3A1
ENSG00000124549	ENSG00000124549	TRUE	NA	ENSG00000124549
ENSG00000111801	ENSG00000111801	TRUE	BTN3A3	BTN3A3
ENSG00000112763	ENSG00000112763	TRUE	BTN2A1	BTN2A1
ENSG00000124557	ENSG00000124557	TRUE	BTN1A1	BTN1A1
ENSG00000228223	ENSG00000228223	TRUE	HCG11	HCG11
ENSG00000261353	ENSG00000261353	TRUE	NA	ENSG00000261353
ENSG00000182952	ENSG00000182952	TRUE	HMGN4	HMGN4
ENSG00000146109	ENSG00000146109	TRUE	ABT1	ABT1
ENSG00000218346	ENSG00000218346	TRUE	NA	ENSG00000218346
ENSG00000233631	ENSG00000233631	TRUE	NA	ENSG00000233631
ENSG00000181315	ENSG00000181315	TRUE	ZNF322	ZNF322
ENSG00000261584	ENSG00000261584	TRUE	NA	ENSG00000261584
ENSG00000241549	ENSG00000241549	TRUE	NA	ENSG00000241549
ENSG00000224843	ENSG00000224843	TRUE	LINC00240	LINC00240
ENSG00000272468	ENSG00000272468	TRUE	NA	ENSG00000272468
ENSG00000124635	ENSG00000124635	TRUE	H2BC11	H2BC11
ENSG00000196787	ENSG00000196787	TRUE	H2AC11	H2AC11
ENSG00000197903	ENSG00000197903	TRUE	H2BC12	H2BC12
ENSG00000198339	ENSG00000198339	TRUE	NA	ENSG00000198339
ENSG00000184825	ENSG00000184825	TRUE	NA	ENSG00000184825
ENSG00000265565	ENSG00000265565	TRUE	MIR3143	MIR3143
ENSG00000112812	ENSG00000112812	TRUE	PRSS16	PRSS16
ENSG00000204789	ENSG00000204789	TRUE	NA	ENSG00000204789
ENSG00000124613	ENSG00000124613	TRUE	ZNF391	ZNF391
ENSG00000271755	ENSG00000271755	TRUE	NA	ENSG00000271755
ENSG00000096654	ENSG00000096654	TRUE	ZNF184	ZNF184
ENSG00000238648	ENSG00000238648	TRUE	NA	ENSG00000238648
ENSG00000217862	ENSG00000217862	TRUE	NA	ENSG00000217862
ENSG00000185130	ENSG00000185130	TRUE	H2BC13	H2BC13
ENSG00000196747	ENSG00000196747	TRUE	H2AC13	H2AC13
ENSG00000203813	ENSG00000203813	TRUE	NA	ENSG00000203813
ENSG00000182611	ENSG00000182611	TRUE	NA	ENSG00000182611
ENSG00000196374	ENSG00000196374	TRUE	NA	ENSG00000196374
ENSG00000197238	ENSG00000197238	TRUE	H4C11	H4C11
ENSG00000197914	ENSG00000197914	TRUE	NA	ENSG00000197914
ENSG00000184348	ENSG00000184348	TRUE	NA	ENSG00000184348
ENSG00000233822	ENSG00000233822	TRUE	H2BC15	H2BC15
ENSG00000198374	ENSG00000198374	TRUE	NA	ENSG00000198374
ENSG00000184357	ENSG00000184357	TRUE	H1-5	H1-5
ENSG00000182572	ENSG00000182572	TRUE	NA	ENSG00000182572
ENSG00000198558	ENSG00000198558	TRUE	NA	ENSG00000198558
ENSG00000197153	ENSG00000197153	TRUE	H3C12	H3C12
ENSG00000233224	ENSG00000233224	TRUE	NA	ENSG00000233224
ENSG00000196331	ENSG00000196331	TRUE	NA	ENSG00000196331
ENSG00000124657	ENSG00000124657	TRUE	OR2B6	OR2B6
ENSG00000272009	ENSG00000272009	TRUE	NA	ENSG00000272009
ENSG00000197279	ENSG00000197279	TRUE	ZNF165	ZNF165
ENSG00000219891	ENSG00000219891	TRUE	NA	ENSG00000219891
ENSG00000219392	ENSG00000219392	TRUE	NA	ENSG00000219392
ENSG00000269293	ENSG00000269293	TRUE	ZSCAN16-AS1	ZSCAN16-AS1
